Layer #,Pass #,Time(ms),Reading
53,3,470531,716.0
53,3,470547,716.0
53,3,470564,715.0
53,3,470581,716.0
53,3,470597,717.0
53,3,470614,717.0
53,3,470631,717.0
53,3,470647,717.0
53,3,470665,717.0
53,3,470682,716.0
53,3,470699,717.0
53,3,470716,716.0
53,3,470732,716.0
53,3,470749,717.0
53,3,470766,717.0
53,3,470782,717.0
53,3,470799,713.0
53,3,470816,712.0
53,3,470833,711.0
53,3,470849,711.0
53,3,470865,718.0
53,3,470882,717.0
53,3,470899,718.0
53,3,470915,718.0
53,3,470933,717.0
53,3,470949,717.0
53,3,470966,716.0
53,3,470982,717.0
53,3,471000,714.0
53,3,471016,711.0
53,3,471033,711.0
53,3,471049,710.0
53,3,471066,713.0
53,3,471083,710.0
53,3,471098,711.0
53,3,471115,718.0
53,3,471132,717.0
53,3,471149,718.0
53,3,471165,717.0
53,3,471183,716.0
53,3,471199,716.0
53,3,471215,717.0
53,3,471232,717.0
53,3,471249,710.0
53,3,471265,711.0
53,3,471282,721.0
53,3,471299,697.0
53,3,471316,672.0
53,3,471332,649.0
53,3,471348,636.0
53,3,471366,615.0
53,3,471382,593.0
53,3,471399,573.0
53,3,471415,555.0
53,3,471432,537.0
53,3,471448,522.0
53,3,471465,506.0
53,3,471482,483.0
53,3,471499,473.0
53,3,471516,461.0
53,3,471532,449.0
53,3,471549,440.0
53,3,471566,428.0
53,3,471583,419.0
53,3,471599,419.0
53,3,471615,410.0
53,3,471633,404.0
53,3,471649,396.0
53,3,471665,390.0
53,3,471682,384.0
53,3,471699,379.0
53,3,471716,373.0
53,3,471733,364.0
53,3,471749,359.0
53,3,471766,356.0
53,3,471782,352.0
53,3,471799,348.0
53,3,471816,345.0
53,3,471832,348.0
53,3,471849,343.0
53,3,471866,339.0
53,3,471882,339.0
53,3,471899,337.0
53,3,471916,333.0
53,3,471932,332.0
53,3,471949,326.0
53,3,471966,327.0
53,3,471982,320.0
53,3,471999,320.0
53,3,472016,319.0
53,3,472031,316.0
53,3,472049,316.0
53,3,472065,320.0
53,3,472082,319.0
53,3,472099,316.0
53,3,472115,319.0
53,3,472132,316.0
53,3,472149,314.0
53,3,472165,314.0
53,3,472183,307.0
53,3,472198,312.0
53,3,472215,312.0
53,3,472232,306.0
53,3,472249,305.0
53,3,472266,304.0
53,3,472282,305.0
53,3,472299,308.0
53,3,472316,308.0
53,3,472332,308.0
53,3,472349,308.0
53,3,472366,308.0
53,3,472382,306.0
53,3,472399,308.0
53,3,472415,307.0
53,3,472433,301.0
53,3,472449,305.0
53,3,472465,305.0
53,3,472483,302.0
53,3,472499,299.0
53,3,472515,300.0
53,3,472533,302.0
53,3,472549,305.0
53,3,472565,304.0
53,3,472582,305.0
53,3,472599,305.0
53,3,472616,304.0
53,3,472633,305.0
53,3,472649,304.0
53,3,472666,304.0
53,3,472682,303.0
53,3,472699,298.0
53,3,472715,298.0
53,3,472732,297.0
53,3,472749,298.0
53,3,472765,297.0
53,3,472782,303.0
53,3,472799,302.0
53,3,472816,303.0
53,3,472837,298.0
53,3,472853,299.0
53,3,472870,299.0
53,3,472886,296.0
53,3,472903,299.0
53,3,472920,295.0
53,3,472937,298.0
53,3,472953,298.0
53,3,472970,298.0
53,3,472987,297.0
53,3,473004,297.0
53,3,473020,296.0
53,3,473037,296.0
53,3,473053,297.0
53,3,473070,295.0
53,3,473088,298.0
53,3,473103,296.0
53,3,473120,298.0
53,3,473137,298.0
63,1,565622,0.0
63,1,565638,0.0
63,1,565654,0.0
63,1,565672,0.0
63,1,565688,0.0
63,1,565705,689.0
63,1,565722,691.0
63,1,565738,689.0
63,1,565754,691.0
63,1,565771,691.0
63,1,565788,689.0
63,1,565804,695.0
63,1,565822,690.0
63,1,565838,690.0
63,1,565855,690.0
63,1,565871,691.0
63,1,565888,690.0
63,1,565905,690.0
63,1,565922,690.0
63,1,565939,690.0
63,1,565955,691.0
63,1,565971,690.0
63,1,565988,692.0
63,1,566004,692.0
63,1,566022,694.0
63,1,566038,690.0
63,1,566055,690.0
63,1,566071,691.0
63,1,566088,691.0
63,1,566105,692.0
63,1,566121,690.0
63,1,566138,691.0
63,1,566155,692.0
63,1,566171,692.0
63,1,566188,692.0
63,1,566205,692.0
63,1,566221,691.0
63,1,566237,690.0
63,1,566255,693.0
63,1,566271,692.0
63,1,566289,690.0
63,1,566305,690.0
63,1,566322,690.0
63,1,566338,691.0
63,1,566355,690.0
63,1,566371,693.0
63,1,566388,692.0
63,1,566404,691.0
63,1,566422,691.0
63,1,566438,691.0
63,1,566455,692.0
63,1,566471,693.0
63,1,566488,691.0
63,1,566504,691.0
63,1,566523,691.0
63,1,566539,692.0
63,1,566556,692.0
63,1,566573,692.0
63,1,566589,691.0
63,1,566607,691.0
63,1,566623,692.0
63,1,566639,691.0
63,1,566657,694.0
63,1,566673,695.0
63,1,566690,696.0
63,1,566706,695.0
63,1,566723,694.0
63,1,566739,694.0
63,1,566756,694.0
63,1,566773,692.0
63,1,566790,692.0
63,1,566807,691.0
63,1,566823,692.0
63,1,566840,693.0
63,1,566856,691.0
63,1,566873,692.0
63,1,566889,692.0
63,1,566907,694.0
63,1,566923,694.0
63,1,566940,694.0
63,1,566956,696.0
63,1,566973,695.0
63,1,566989,694.0
63,1,567006,691.0
63,1,567023,692.0
63,1,567040,692.0
63,1,567057,692.0
63,1,567073,691.0
63,1,567090,692.0
63,1,567106,691.0
63,1,567123,690.0
63,1,567140,694.0
63,1,567157,694.0
63,1,567173,695.0
63,1,567190,695.0
63,1,567207,695.0
63,1,567223,697.0
63,1,567240,691.0
63,1,567263,693.0
63,1,567280,698.0
63,1,567295,695.0
63,1,567313,698.0
63,1,567329,699.0
63,1,567345,700.0
63,1,567363,700.0
63,1,567380,698.0
63,1,567396,699.0
63,1,567412,698.0
63,1,567429,698.0
63,1,567446,698.0
63,1,567463,699.0
63,1,567479,699.0
63,1,567496,696.0
63,1,567513,699.0
63,1,567529,699.0
