Layer #,Pass #,Time(ms),Reading
53,3,473066,610.0
53,3,473082,620.0
53,3,473099,632.0
53,3,473116,643.0
53,3,473133,653.0
53,3,473149,661.0
53,3,473165,670.0
53,3,473183,673.0
53,3,473199,680.0
53,3,473216,686.0
53,3,473232,689.0
53,3,473249,695.0
53,3,473265,699.0
53,3,473282,703.0
53,3,473299,708.0
53,3,473316,711.0
53,3,473332,718.0
53,3,473349,723.0
53,3,473365,726.0
53,3,473382,728.0
53,3,473399,730.0
53,3,473415,735.0
53,3,473433,733.0
53,3,473449,735.0
53,3,473466,739.0
53,3,473483,739.0
53,3,473500,739.0
53,3,473516,739.0
53,3,473533,741.0
53,3,473549,743.0
53,3,473566,744.0
53,3,473582,750.0
53,3,473598,752.0
53,3,473615,751.0
53,3,473632,753.0
53,3,473649,755.0
53,3,473667,751.0
53,3,473682,751.0
53,3,473698,756.0
53,3,473715,751.0
53,3,473732,750.0
53,3,473749,752.0
53,3,473765,752.0
53,3,473782,752.0
53,3,473799,752.0
53,3,473815,758.0
53,3,473832,758.0
53,3,473849,759.0
53,3,473866,759.0
53,3,473882,758.0
53,3,473898,760.0
53,3,473915,761.0
53,3,473933,757.0
53,3,473948,757.0
53,3,473966,759.0
53,3,473983,756.0
53,3,473999,756.0
53,3,474015,757.0
53,3,474032,757.0
53,3,474049,757.0
53,3,474066,761.0
53,3,474083,762.0
53,3,474099,761.0
53,3,474116,759.0
53,3,474133,757.0
53,3,474149,762.0
53,3,474166,757.0
53,3,474183,759.0
53,3,474199,758.0
53,3,474216,757.0
53,3,474233,758.0
53,3,474249,758.0
53,3,474265,760.0
53,3,474282,758.0
53,3,474299,761.0
53,3,474316,762.0
53,3,474332,763.0
53,3,474350,762.0
53,3,474366,763.0
53,3,474383,759.0
53,3,474399,758.0
53,3,474416,758.0
53,3,474433,758.0
53,3,474449,759.0
53,3,474466,757.0
53,3,474483,758.0
53,3,474500,758.0
53,3,474516,758.0
53,3,474532,762.0
53,3,474550,762.0
53,3,474566,763.0
53,3,474582,763.0
53,3,474599,760.0
53,3,474616,763.0
53,3,474633,759.0
53,3,474649,758.0
53,3,474667,758.0
53,3,474682,759.0
53,3,474699,757.0
53,3,474715,759.0
53,3,474733,757.0
53,3,474749,759.0
53,3,474766,758.0
53,3,474782,763.0
53,3,474799,760.0
53,3,474816,762.0
53,3,474833,763.0
53,3,474849,761.0
53,3,474866,758.0
53,3,474882,757.0
53,3,474899,759.0
53,3,474917,759.0
53,3,474933,758.0
53,3,474949,774.0
53,3,474965,750.0
53,3,474983,726.0
53,3,475000,697.0
53,3,475016,684.0
53,3,475033,658.0
53,3,475049,636.0
53,3,475066,612.0
53,3,475082,592.0
53,3,475099,567.0
53,3,475116,549.0
53,3,475133,534.0
53,3,475149,516.0
53,3,475166,502.0
53,3,475182,490.0
53,3,475199,475.0
53,3,475216,466.0
53,3,475232,455.0
53,3,475248,452.0
53,3,475265,441.0
53,3,475282,434.0
53,3,475299,424.0
53,3,475316,418.0
53,3,475332,410.0
53,3,475349,400.0
53,3,475366,391.0
53,3,475383,386.0
53,3,475399,380.0
53,3,475416,377.0
53,3,475432,372.0
53,3,475449,366.0
53,3,475466,364.0
53,3,475483,359.0
53,3,475499,362.0
53,3,475516,356.0
53,3,475532,357.0
53,3,475549,351.0
53,3,475566,345.0
53,3,475582,346.0
53,3,475599,339.0
53,3,475616,338.0
53,3,475633,337.0
53,3,475649,333.0
53,3,475667,334.0
53,3,475682,329.0
53,3,475699,330.0
53,3,475716,326.0
53,3,475732,331.0
53,3,475750,326.0
53,3,475768,325.0
53,3,475785,324.0
53,3,475801,322.0
53,3,475818,322.0
53,3,475834,319.0
53,3,475851,319.0
53,3,475867,316.0
53,3,475884,318.0
53,3,475901,316.0
53,3,475918,315.0
53,3,475933,316.0
53,3,475950,314.0
53,3,475967,317.0
53,3,475984,314.0
53,3,476001,313.0
53,3,476017,314.0
53,3,476034,310.0
53,3,476051,311.0
53,3,476067,312.0
53,3,476084,310.0
53,3,476101,310.0
53,3,476118,312.0
53,3,476134,309.0
53,3,476151,311.0
53,3,476168,307.0
53,3,476184,307.0
53,3,476201,308.0
53,3,476217,311.0
53,3,476235,306.0
53,3,476251,309.0
53,3,476268,307.0
53,3,476285,308.0
53,3,476301,308.0
53,3,476317,306.0
53,3,476334,305.0
53,3,476351,307.0
53,3,476367,306.0
53,3,476383,307.0
53,3,476401,306.0
53,3,476418,306.0
53,3,476434,308.0
53,3,476451,308.0
53,3,476467,310.0
53,3,476484,306.0
53,3,476502,305.0
53,3,476518,305.0
53,3,476534,306.0
53,3,476550,303.0
53,3,476568,303.0
53,3,476584,306.0
53,3,476601,306.0
53,3,476618,304.0
53,3,476634,306.0
53,3,476651,305.0
53,3,476668,306.0
53,3,476684,309.0
53,3,476700,308.0
53,3,476717,306.0
53,3,476735,305.0
53,3,476751,304.0
53,3,476768,306.0
53,3,476784,304.0
53,3,476802,303.0
53,3,476818,306.0
53,3,476835,304.0
63,1,569310,0.0
63,1,569327,0.0
63,1,569343,0.0
63,1,569360,0.0
63,1,569377,0.0
63,1,569393,752.0
63,1,569410,751.0
63,1,569426,752.0
63,1,569443,751.0
63,1,569460,751.0
63,1,569476,750.0
63,1,569493,752.0
63,1,569509,751.0
63,1,569526,751.0
63,1,569544,751.0
63,1,569559,750.0
63,1,569577,751.0
63,1,569593,752.0
63,1,569610,751.0
63,1,569626,751.0
63,1,569643,752.0
63,1,569660,751.0
63,1,569676,751.0
63,1,569692,751.0
63,1,569710,751.0
63,1,569726,752.0
63,1,569743,751.0
63,1,569759,752.0
63,1,569777,751.0
63,1,569793,751.0
63,1,569810,752.0
63,1,569826,751.0
63,1,569843,751.0
63,1,569860,755.0
63,1,569877,753.0
63,1,569893,751.0
63,1,569910,751.0
63,1,569926,751.0
63,1,569943,752.0
63,1,569959,752.0
63,1,569978,750.0
63,1,569992,752.0
63,1,570009,753.0
63,1,570027,752.0
63,1,570043,752.0
63,1,570059,752.0
63,1,570076,751.0
63,1,570093,750.0
63,1,570110,751.0
63,1,570126,753.0
63,1,570143,753.0
63,1,570160,753.0
63,1,570177,754.0
63,1,570194,752.0
63,1,570210,754.0
63,1,570227,754.0
63,1,570243,754.0
63,1,570260,752.0
63,1,570277,753.0
63,1,570293,753.0
